completed_to_open_pnl_withdrawn,completed_to_open_transitions,family,open_to_completed_pnl_added,open_to_completed_transitions,paired_additional_borrow_at_10pct,paired_completed,paired_exit_cost_difference,paired_net_change,paired_price_movement,panel,split,step,tickets_in_ledger,total_book_net_change
0,0,PARENT,0,0,-626.7231810323293,200,7.506455755999995,12839.728111756003,12832.221656000002,LEGACY_FILL_QTY,IS,H1->H2,200,12839.728111756001
0,0,PARENT,0,0,-211.16554756164328,200,-0.9954175999999957,609.5894824000003,610.5849000000001,LEGACY_FILL_QTY,IS,H2->H3,200,609.5894824000025
0,0,PARENT,0,0,-210.99826402739723,200,-2.395243799999999,-912.1357188000032,-909.7404750000014,LEGACY_FILL_QTY,IS,H3->H4,200,-912.1357188000038
0,0,PARENT,0,0,-219.87199566438414,200,2.5552312,2654.8131062000034,2652.2578750000016,LEGACY_FILL_QTY,IS,H4->H5,200,2654.813106200003
0,0,PARENT,0,0,-319.1281976164395,200,4.931586368000004,7564.957454367997,7560.025867999998,LEGACY_FILL_QTY,IS,H5->H6,200,7564.9574543679955
0,0,PARENT,0,0,-544.7039373413689,200,-1.823587368000006,-1094.7944553679977,-1092.9708679999972,LEGACY_FILL_QTY,IS,H6->H7,200,-1094.794455367999
0,0,PARENT,0,0,-208.7490661095878,200,8.40969830000001,10468.904098300005,10460.494400000003,LEGACY_FILL_QTY,IS,H7->H8,200,10468.904098300009
0,0,PARENT,0,0,-205.88317723287673,200,-3.2826100000000094,-1482.3500100000035,-1479.0674000000042,LEGACY_FILL_QTY,IS,H8->H9,200,-1482.350010000002
0,0,PARENT,0,0,-215.30793679452128,200,-0.9862105999999946,-746.6235106000023,-745.6373000000027,LEGACY_FILL_QTY,IS,H9->H10,200,-746.6235106000022
-113.39099999999964,1,PARENT,0,0,-636.7260085205475,215,13.44908809999999,14724.403688100001,14710.954600000001,LEGACY_FILL_QTY,OOS,H1->H2,216,14611.0126881
0,0,PARENT,0,0,-228.6015918082207,215,10.03533270000001,13094.9560327,13084.9207,LEGACY_FILL_QTY,OOS,H2->H3,216,13094.956032700004
0,0,PARENT,0,0,-234.16213134246473,215,-7.2318850000000054,621.7832500000002,629.0151349999993,LEGACY_FILL_QTY,OOS,H3->H4,216,621.7832500000004
0,0,PARENT,0,0,-254.2979491136996,215,0.8606168999999868,3808.0862819000013,3807.2256650000013,LEGACY_FILL_QTY,OOS,H4->H5,216,3808.086281899996
0,0,PARENT,0,0,-356.8152477534246,215,5.80668010000001,6292.6618800999995,6286.855199999999,LEGACY_FILL_QTY,OOS,H5->H6,216,6292.6618801
0,0,PARENT,0,0,-546.1392507397234,215,6.608953100000009,10508.6489531,10502.040000000003,LEGACY_FILL_QTY,OOS,H6->H7,216,10508.648953100004
0,0,PARENT,0,0,-219.2015762739745,215,9.336459899999998,9086.395159899996,9077.058699999994,LEGACY_FILL_QTY,OOS,H7->H8,216,9086.395159899992
0,0,PARENT,0,0,-226.00867526027318,215,2.9610014999999947,6402.1318015,6399.170800000003,LEGACY_FILL_QTY,OOS,H8->H9,216,6402.131801500007
0,0,PARENT,0,0,-279.79564038356244,215,-4.55905949999999,-6173.158809499994,-6168.599749999996,LEGACY_FILL_QTY,OOS,H9->H10,216,-6173.158809500004
-113.39099999999964,1,PARENT,0,0,-1263.4491895528768,415,20.955543855999984,27564.131799856004,27543.176256000002,LEGACY_FILL_QTY,ALL,H1->H2,416,27450.740799856005
0,0,PARENT,0,0,-439.76713936986397,415,9.039915100000014,13704.5455151,13695.5056,LEGACY_FILL_QTY,ALL,H2->H3,416,13704.545515099999
0,0,PARENT,0,0,-445.16039536986193,415,-9.627128800000005,-290.35246880000307,-280.7253400000021,LEGACY_FILL_QTY,ALL,H3->H4,416,-290.3524688000034
0,0,PARENT,0,0,-474.16994477808373,415,3.415848099999987,6462.899388100005,6459.483540000003,LEGACY_FILL_QTY,ALL,H4->H5,416,6462.899388100006
0,0,PARENT,0,0,-675.9434453698641,415,10.738266468000013,13857.619334467998,13846.881067999997,LEGACY_FILL_QTY,ALL,H5->H6,416,13857.619334468
0,0,PARENT,0,0,-1090.8431880810924,415,4.7853657320000025,9413.854497732002,9409.069132000006,LEGACY_FILL_QTY,ALL,H6->H7,416,9413.854497731998
0,0,PARENT,0,0,-427.9506423835623,415,17.746158200000007,19555.2992582,19537.553099999997,LEGACY_FILL_QTY,ALL,H7->H8,416,19555.2992582
0,0,PARENT,0,0,-431.89185249314994,415,-0.32160850000001484,4919.781791499996,4920.103399999998,LEGACY_FILL_QTY,ALL,H8->H9,416,4919.7817914999905
0,0,PARENT,0,0,-495.1035771780837,415,-5.545270099999985,-6919.7823200999965,-6914.237049999999,LEGACY_FILL_QTY,ALL,H9->H10,416,-6919.782320099985
0,0,PARENT,0,0,-626.5028082241101,200,7.461403956000006,12738.777809956004,12731.316406000002,CAUSAL_PREORDER_QTY,IS,H1->H2,200,12738.777809956006
0,0,PARENT,0,0,-211.0869489315061,200,-1.0505799999999903,545.9479199999979,546.9984999999998,CAUSAL_PREORDER_QTY,IS,H2->H3,200,545.9479199999951
0,0,PARENT,0,0,-210.93708632876724,200,-2.4181580000000107,-963.3756280000019,-960.9574700000022,CAUSAL_PREORDER_QTY,IS,H3->H4,200,-963.3756280000016
0,0,PARENT,0,0,-219.8351815260285,200,2.6233999000000074,2751.8727699000037,2749.249370000003,CAUSAL_PREORDER_QTY,IS,H4->H5,200,2751.8727699000046
0,0,PARENT,0,0,-319.09403923287596,200,4.965478268000002,7586.059246267997,7581.093767999996,CAUSAL_PREORDER_QTY,IS,H5->H6,200,7586.059246267996
0,0,PARENT,0,0,-544.4608091221925,200,-1.8752238680000013,-1162.9988918679958,-1161.1236679999954,CAUSAL_PREORDER_QTY,IS,H6->H7,200,-1162.9988918679956
0,0,PARENT,0,0,-208.68824742465696,200,8.377313600000004,10428.885913600001,10420.508600000001,CAUSAL_PREORDER_QTY,IS,H7->H8,200,10428.885913600003
0,0,PARENT,0,0,-205.83331356164317,200,-3.3998596000000076,-1639.3734596000033,-1635.9736000000028,CAUSAL_PREORDER_QTY,IS,H8->H9,200,-1639.3734596000068
0,0,PARENT,0,0,-215.31532002739777,200,-0.9684350999999944,-753.4006350999998,-752.4322000000018,CAUSAL_PREORDER_QTY,IS,H9->H10,200,-753.4006350999989
-111.19349999999966,1,PARENT,0,0,-636.7442318904114,215,13.51929070000001,14789.051790700001,14775.5325,CAUSAL_PREORDER_QTY,OOS,H1->H2,216,14677.858290700002
0,0,PARENT,0,0,-228.5627329589053,215,10.040529100000002,13096.496629099998,13086.456100000001,CAUSAL_PREORDER_QTY,OOS,H2->H3,216,13096.496629099998
0,0,PARENT,0,0,-234.10881347945187,215,-7.198595400000006,596.0583366000014,603.2569319999994,CAUSAL_PREORDER_QTY,OOS,H3->H4,216,596.0583365999992
0,0,PARENT,0,0,-254.21994582684894,215,0.8149403,3760.5575082999976,3759.742568,CAUSAL_PREORDER_QTY,OOS,H4->H5,216,3760.5575083000003
0,0,PARENT,0,0,-356.7280115342454,215,5.816508600000002,6294.520908600004,6288.704400000003,CAUSAL_PREORDER_QTY,OOS,H5->H6,216,6294.520908600003
0,0,PARENT,0,0,-546.1967550410961,215,6.624987300000007,10507.280887299998,10500.6559,CAUSAL_PREORDER_QTY,OOS,H6->H7,216,10507.280887299996
0,0,PARENT,0,0,-219.18223545205524,215,9.320802599999997,9060.425602599998,9051.104799999996,CAUSAL_PREORDER_QTY,OOS,H7->H8,216,9060.4256026
0,0,PARENT,0,0,-225.98318756164323,215,2.9440100999999945,6378.3241100999985,6375.3801,CAUSAL_PREORDER_QTY,OOS,H8->H9,216,6378.324110099995
0,0,PARENT,0,0,-279.6935971780845,215,-4.539946399999994,-6151.181646399994,-6146.641699999996,CAUSAL_PREORDER_QTY,OOS,H9->H10,216,-6151.181646399993
-111.19349999999966,1,PARENT,0,0,-1263.2470401145215,415,20.980694656000015,27527.829600656005,27506.848906000003,CAUSAL_PREORDER_QTY,ALL,H1->H2,416,27416.636100656007
0,0,PARENT,0,0,-439.6496818904114,415,8.989949100000013,13642.444549099997,13633.454600000001,CAUSAL_PREORDER_QTY,ALL,H2->H3,416,13642.444549099993
0,0,PARENT,0,0,-445.04589980821913,415,-9.616753400000016,-367.3172914000006,-357.7005380000028,CAUSAL_PREORDER_QTY,ALL,H3->H4,416,-367.31729140000243
0,0,PARENT,0,0,-474.05512735287743,415,3.4383402000000074,6512.430278200001,6508.991938000004,CAUSAL_PREORDER_QTY,ALL,H4->H5,416,6512.430278200001
0,0,PARENT,0,0,-675.8220507671214,415,10.781986868000004,13880.580154868001,13869.798168,CAUSAL_PREORDER_QTY,ALL,H5->H6,416,13880.580154868003
0,0,PARENT,0,0,-1090.6575641632885,415,4.749763432000005,9344.281995432002,9339.532232000005,CAUSAL_PREORDER_QTY,ALL,H6->H7,416,9344.281995432
0,0,PARENT,0,0,-427.8704828767122,415,17.6981162,19489.3115162,19471.613399999995,CAUSAL_PREORDER_QTY,ALL,H7->H8,416,19489.311516200003
0,0,PARENT,0,0,-431.8165011232864,415,-0.45584950000001334,4738.950650499995,4739.406499999997,CAUSAL_PREORDER_QTY,ALL,H8->H9,416,4738.950650499988
0,0,PARENT,0,0,-495.00891720548225,415,-5.508381499999988,-6904.582281499994,-6899.073899999998,CAUSAL_PREORDER_QTY,ALL,H9->H10,416,-6904.582281499985
0,0,R4,0,0,-607.8092057282201,200,8.12133213600001,14507.482268136004,14499.360936000003,LEGACY_FILL_QTY,IS,H1->H2,200,14507.482268136006
0,0,R4,0,0,-204.40717060273866,200,0.7224960999999996,2797.637696100002,2796.9152000000026,LEGACY_FILL_QTY,IS,H2->H3,200,2797.6376960999987
0,0,R4,0,0,-203.64089246575372,200,-1.5869014999999944,-89.18589050000394,-87.59898900000368,LEGACY_FILL_QTY,IS,H3->H4,200,-89.18589050000082
0,0,R4,0,0,-211.8999442435616,200,5.102657199999995,4824.882346200005,4819.779689000004,LEGACY_FILL_QTY,IS,H4->H5,200,4824.882346200004
0,0,R4,0,0,-314.95599364383565,200,2.3191205700000026,5068.371990569998,5066.052869999999,LEGACY_FILL_QTY,IS,H5->H6,200,5068.371990569998
0,0,R4,0,0,-516.93653199726,200,-3.2415785700000055,-2280.663548569999,-2277.4219700000012,LEGACY_FILL_QTY,IS,H6->H7,200,-2280.6635485700026
0,0,R4,0,0,-201.5803961369875,200,8.610274900000013,10671.517174900007,10662.906900000007,LEGACY_FILL_QTY,IS,H7->H8,200,10671.517174900007
0,0,R4,0,0,-198.6590517808215,200,-4.040579300000007,-1515.3647793000064,-1511.324200000005,LEGACY_FILL_QTY,IS,H8->H9,200,-1515.3647793000055
0,0,R4,0,0,-207.32192827397236,200,0.4232529000000067,1342.9798528999981,1342.5565999999974,LEGACY_FILL_QTY,IS,H9->H10,200,1342.9798528999963
-145.91399999999956,1,R4,0,0,-621.7774335068502,215,16.129276700000002,16620.2236767,16604.094399999998,LEGACY_FILL_QTY,OOS,H1->H2,216,16474.3096767
0,0,R4,0,0,-224.66803257534153,215,8.609185200000006,11741.653185199999,11733.043999999998,LEGACY_FILL_QTY,OOS,H2->H3,216,11741.6531852
0,0,R4,0,0,-231.13148764383536,215,-8.9000651,100.47090790000146,109.37097300000076,LEGACY_FILL_QTY,OOS,H3->H4,216,100.4709079000022
0,0,R4,0,0,-252.4525572402737,215,0.7572596999999943,2778.0596866999986,2777.302426999999,LEGACY_FILL_QTY,OOS,H4->H5,216,2778.0596866999986
0,0,R4,0,0,-350.9948030958915,215,4.4823699,5245.9782699000025,5241.495900000001,LEGACY_FILL_QTY,OOS,H5->H6,216,5245.978269899999
0,0,R4,0,0,-537.5579867945198,215,8.931721100000004,12241.300421099999,12232.3687,LEGACY_FILL_QTY,OOS,H6->H7,216,12241.3004211
0,0,R4,0,0,-215.8752703835631,215,12.231429699999994,12110.285829699997,12098.054399999995,LEGACY_FILL_QTY,OOS,H7->H8,216,12110.285829699998
0,0,R4,0,0,-222.3374499999993,215,5.468057900000002,8079.555857900002,8074.087800000002,LEGACY_FILL_QTY,OOS,H8->H9,216,8079.555857900006
0,0,R4,0,0,-278.03627438356096,215,-5.810454699999995,-7044.002904700001,-7038.192449999999,LEGACY_FILL_QTY,OOS,H9->H10,216,-7044.0029047000135
