account_view,hold,legacy_id,model,month,month_end_equity,monthly_pnl,monthly_return_pct,prior_month_end_equity
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2024-09,83161.40900489995,-16838.59099510005,-16.83859099510005,100000.0
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2024-10,100711.82497190009,17550.41596700014,21.104038732636255,83161.40900489995
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2024-11,100910.72491430002,198.89994239993393,0.1974941298655144,100711.82497190009
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2024-12,57728.29980780001,-43182.42510650001,-42.79270131413024,100910.72491430002
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2025-01,83583.72120510002,25855.421397300015,44.78812208809679,57728.29980780001
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2025-02,104298.23655510001,20714.515349999987,24.782954206082955,83583.72120510002
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2025-03,112199.49072531609,7901.254170216082,7.575635438516648,104298.23655510001
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2025-04,144113.9035185161,31914.412793200012,28.444347284366966,112199.49072531609
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2025-05,161833.95508711622,17720.051568600116,12.295865378681802,144113.9035185161
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2025-06,197884.48720211617,36050.53211499995,22.27624733980809,161833.95508711622
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2025-07,214669.8803176161,16785.39311549993,8.482419896995557,197884.48720211617
EQUITY_SCALED,8,C1,Rank-One 1.50x Reallocation,2025-08,199228.94861211604,-15440.931705500057,-7.192872927797013,214669.8803176161
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2024-09,88390.79218389996,-11609.207816100039,-11.609207816100039,100000.0
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2024-10,106621.67396389991,18230.881779999952,20.625317784311743,88390.79218389996
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2024-11,105838.42734309993,-783.2466207999823,-0.7346035676246978,106621.67396389991
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2024-12,6801.156342299906,-99037.27100080003,-93.57401984040034,105838.42734309993
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2025-01,10362.961088599912,3561.8047463000057,52.37057592908578,6801.156342299906
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2025-02,12905.92465859991,2542.963569999998,24.53896669357817,10362.961088599912
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2025-03,13795.714016167904,889.7893575679936,6.894425475938908,12905.92465859991
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2025-04,17943.652232467903,4147.938216299999,30.066861428403186,13795.714016167904
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2025-05,20039.068376067928,2095.416143600025,11.67775721716509,17943.652232467903
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2025-06,24978.49618676795,4939.427810700021,24.648989254405834,20039.068376067928
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2025-07,26875.42459676796,1896.9284100000114,7.59424584977572,24978.49618676795
EQUITY_SCALED,9,C1,Rank-One 1.50x Reallocation,2025-08,25041.631990567963,-1833.792606199997,-6.8233065475755454,26875.42459676796
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2024-09,86933.38444489996,-13066.615555100041,-13.066615555100041,100000.0
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2024-10,110378.13639780006,23444.7519529001,26.968640531601334,86933.38444489996
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2024-11,114043.73329180013,3665.596894000075,3.32094472114419,110378.13639780006
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2024-12,38645.467503000225,-75398.26578879991,-66.11346683634139,114043.73329180013
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2025-01,60716.13276070021,22070.665257699984,57.11061783891355,38645.467503000225
