model,replay_stage,intended_slots,completed_trades,gross_pnl,modeled_net,net_is,net_oos,wins,losses,hit_rate,avg_win,avg_loss,profit_factor,net_double_spread,net_borrow_10,net_borrow_30,tier_full,tier_half,tier_quarter,max_dd_dollars,worst_day,mean_gross,peak_gross,sessions_above_130k,aug31_equity,aug31_open_tickets,uncertified_rank_units,net_from_uncertified_rank_units,net_excluding_uncertified_rank_units
PARENT,R1,416,415,40648.15,36536.55,3179.34,33357.21,205,210,0.494,774.68,-582.25,1.2988,33187.88,30075.74,17154.12,36536.55,0,0,-49994.47,-37439.65,67248.87,110917.26,0,136192.3,17,64,30413.42,6123.13
PARENT,R2,416,415,119076.21,114855.8,42761.26,72094.54,230,185,0.5542,996.71,-618.31,2.0041,111470.72,108539.18,95905.95,114855.8,0,0,-14043.51,-6953.11,65594.52,107497.38,0,215302.47,17,121,100884.24,13971.56
PARENT,R2_CAUSAL,416,415,118539.47,114330.25,42400.43,71929.82,230,185,0.5542,994.44,-618.33,1.9995,110952.62,108015.17,95385.0,114330.25,0,0,-14027.25,-6957.83,65509.52,107386.33,0,214782.86,17,121,100546.74,13783.51
R4,R1,416,415,61174.46,57025.53,8957.28,48068.25,205,210,0.494,835.82,-544.37,1.4988,53656.35,50573.68,37669.96,67022.61,-9997.08,0,-63277.7,-48747.75,68125.34,122434.39,0,156222.84,17,64,37760.96,19264.57
R4,R2,416,415,131703.75,127546.11,51133.88,76412.22,230,185,0.5542,1046.29,-611.35,2.1277,124208.89,121239.41,108626.01,107214.43,20331.68,0,-16454.2,-8677.18,66403.03,119941.35,0,226608.1,17,121,112989.11,14557.0
R4,R2_CAUSAL,416,415,131361.93,127212.83,50894.69,76318.14,230,185,0.5542,1044.24,-610.61,2.1261,123881.38,120909.06,108301.52,106992.71,20220.12,0,-16523.8,-8655.94,66292.58,119675.69,0,226278.84,17,121,112778.24,14434.59
R5,R1,416,415,69877.57,65676.39,15924.94,49751.46,205,210,0.494,871.04,-537.56,1.5818,62268.48,59108.84,45973.73,38920.86,35010.42,-8254.89,-53459.86,-38858.11,68159.28,124050.28,0,164663.64,17,64,48270.8,17405.59
R5,R2,416,415,144458.29,140256.07,62051.59,78204.48,230,185,0.5542,1098.79,-607.92,2.2471,136886.24,133851.69,121042.94,68744.44,58279.65,13231.98,-16386.07,-10851.88,66287.34,129498.53,0,238572.36,17,121,123292.12,16963.95
R5,R2_CAUSAL,416,415,144264.02,140068.81,61819.19,78249.62,230,185,0.5542,1097.23,-607.0,2.2473,136703.89,133667.31,120864.29,68992.54,57924.06,13152.21,-16404.28,-10822.77,66202.67,129429.49,0,238385.14,17,121,123225.65,16843.16
