aug31_equity,aug31_open_tickets,avg_loss,avg_win,completed,documented_event_open,exposure_dollar_days,family,filled,flats,gross_pnl,hit_rate,horizon,intended,losses,max_dd_dollars,max_dd_percent,mean_gross,median_month,modeled_net,net_borrow_10,net_borrow_30,net_double_spread,net_per_session,net_through_cutoff,no_entry,panel,payoff_ratio,peak_gross,per_session_basis,per_session_denominator,profit_factor,red_calendar_months,red_month_loss_sum,september_runoff_net,september_runoff_trades,split,structural_block,tier_full,tier_half,tier_quarter,time_underwater_sessions,turnover_entry_notional,unresolved,wins,worst_day,worst_month
111280.43535044405,0,-205.90155777558334,298.5287009317307,200,0,796897.3917,PARENT,200,0,13310.921443999996,0.52,1,200,96,-2160.8464016000216,-0.021303250739164503,3174.8900067729087,198.9305649999951,11280.435350443997,11018.383944498792,10494.28113260838,9635.219256887996,44.941973507745004,11280.435350443997,0,LEGACY_FILL_QTY,1.4498613034152164,31940.4808,251 account sessions of the IS-owned book,251,1.5706830786998176,0,0,0,0,IS,0,11280.435350443997,0,0,70,796897.3917,0,104,-2080.435473799982,0.0
124120.16346219985,0,-306.7392217382023,463.24283060270267,200,0,1580483.861956,PARENT,200,0,26143.143099999998,0.555,2,200,89,-4556.194425000009,-0.04354075182363826,6296.748454007969,1513.2577849999943,24120.1634622,23231.388875222463,21453.839701267396,22482.4538244,96.09626877370518,24120.1634622,0,LEGACY_FILL_QTY,1.510217141380355,33933.673800000004,251 account sessions of the IS-owned book,251,1.883529243744038,1,-2035.216779999988,0,0,IS,0,24120.1634622,0,0,136,796897.3917,0,111,-3593.0195450000174,-2035.216779999988
124729.75294460007,0,-379.221730134066,543.4764255669725,200,0,2351238.110556,PARENT,200,0,26753.728,0.545,3,200,91,-6460.895727200012,-0.06253255133706082,9367.482512175298,610.3879175000111,24729.7529446,23629.812810060823,21429.932540982463,23091.0478892,98.52491212988048,24729.7529446,0,LEGACY_FILL_QTY,1.4331362956833662,34779.545000000006,251 account sessions of the IS-owned book,251,1.7166138047196364,2,-2792.551985899976,0,0,IS,0,24729.7529446,0,0,199,796897.3917,0,109,-3552.3550000000105,-1506.5303217000037
123817.61722579993,0,-439.20856616595745,614.1813438245283,200,0,3121381.7742560003,PARENT,200,0,25843.987524999997,0.53,4,200,94,-5372.714087400076,-0.05136230994676083,12435.783961179284,839.7791150000048,23817.617225799997,22506.67882723342,19884.80203010027,22176.516926599994,94.8909052820717,23817.617225799997,0,LEGACY_FILL_QTY,1.3983819787168186,35627.182,251 account sessions of the IS-owned book,251,1.5768988270636464,3,-1858.0804954000778,0,0,IS,0,23817.617225799997,0,0,177,796897.3917,0,106,-3552.3550000000105,-1423.7509250000148
126472.43033200008,0,-492.0484917075269,675.074206175701,200,0,3892435.178431,PARENT,200,0,28496.2454,0.535,5,200,93,-7760.217508900023,-0.06581880597582135,15507.709874227092,1327.1005650500229,26472.430332,24941.61993776904,21879.99914930712,24833.885264,105.46784992828685,26472.430332,0,LEGACY_FILL_QTY,1.3719668234995106,63553.04,251 account sessions of the IS-owned book,251,1.578499463596211,3,-4417.862058900064,0,0,IS,0,26472.430332,0,0,199,796897.3917,0,107,-3552.3550000000105,-2065.983830000012
134037.38778636802,0,-500.5485320777778,718.9705061215273,200,0,4660836.324731,PARENT,200,0,36056.271268,0.55,6,200,90,-7998.69252000007,-0.07643852228346393,18569.069022832668,1273.6978731499694,34037.387786367995,32187.4491945206,28487.572010825803,32403.774304735998,135.60712265485256,34037.387786367995,0,LEGACY_FILL_QTY,1.436365227437746,68306.31,251 account sessions of the IS-owned book,251,1.7555575002016897,4,-3789.925720000072,0,0,IS,0,34037.387786367995,0,0,175,796897.3917,0,110,-3552.3550000000105,-1793.0261450000107
132942.59333099984,0,-568.6675457126437,729.3510602477877,200,0,5421677.445163,PARENT,200,0,34963.3004,0.565,7,200,87,-8260.844081100135,-0.0785903656353717,21600.308546466138,994.5068499999761,32942.593331,30547.950801811232,25758.665743433696,31307.156262,131.2453917569721,32942.593331,0,LEGACY_FILL_QTY,1.282561429338786,68306.31,251 account sessions of the IS-owned book,251,1.6658556496009518,4,-4165.994951900022,0,0,IS,0,32942.593331,0,0,214,796897.3917,0,113,-7173.610478999995,-1854.5969599999953
143411.49742929995,0,-547.8321358470589,782.4106867504348,200,0,6183611.536463,PARENT,200,0,45423.7948,0.575,8,200,85,-10452.800181000057,-0.09965167739824143,24635.902535709163,1161.7338236999858,43411.497429300005,40808.105834001646,35601.322643404936,41784.4700586,172.95417302509964,43411.497429300005,0,LEGACY_FILL_QTY,1.4281942141650201,68306.31,251 account sessions of the IS-owned book,251,1.9322627603409097,4,-4718.062753399965,0,0,IS,0,43411.497429300005,0,0,175,796897.3917,0,115,-7135.843999999983,-2518.8854000000138
141929.1474192998,0,-584.0041349362638,872.2341623715596,200,0,6935085.133363,PARENT,200,0,43944.727399999996,0.545,9,200,91,-13795.789786799985,-0.13307084822512416,27629.821248458167,1743.8262574999608,41929.1474193,39119.87264676877,33501.3231017063,40298.8374386,167.0483960928287,41929.1474193,0,LEGACY_FILL_QTY,1.4935410730726286,68306.31,251 account sessions of the IS-owned book,251,1.7889667798342477,5,-7513.931199799932,0,0,IS,0,41929.1474193,0,0,194,796897.3917,0,109,-7135.844000000012,-3681.419915000006
141182.5239087,0,-594.8996430291667,945.1239388413462,200,0,7688037.797663,PARENT,200,0,43199.090099999994,0.52,10,200,96,-14273.278793300007,-0.13625934110716742,30629.632660011954,1919.0344191999393,41182.5239087,38157.94119937425,32108.77578072274,39551.2277174,164.07380043306773,41182.5239087,0,LEGACY_FILL_QTY,1.5887115581863087,95763.4636,251 account sessions of the IS-owned book,251,1.7211041880351676,4,-7850.2725213000085,0,0,IS,0,41182.5239087,0,0,201,796897.3917,0,104,-7135.844000000012,-3848.1293578999903
111286.73843584399,0,-205.556975801625,298.27123185384613,200,0,796512.2391,PARENT,200,0,13313.559093999997,0.52,1,200,96,-2158.1180370999937,-0.021280244459282116,3173.3555342629484,192.30676999998832,11286.738435843996,11024.851992254955,10501.079105076873,9643.997777687995,44.967085401768905,11286.738435843996,0,CAUSAL_PREORDER_QTY,1.4510392103729726,32034.2477,251 account sessions of the IS-owned book,251,1.57195914457072,0,0,0,0,IS,0,11286.738435843996,0,0,70,796512.2391,0,104,-2077.5360599999694,0.0
124025.51624579988,0,-306.7257975247191,462.37938941891895,200,0,1579710.919106,PARENT,200,0,26044.8755,0.555,2,200,89,-4542.66071500002,-0.043420748172638746,6293.669000422311,1512.9980849999774,24025.5162458,23137.126993986847,21360.348490360546,22390.2369916,95.71918823027889,24025.5162458,0,CAUSAL_PREORDER_QTY,1.5074682115111484,33983.060000000005,251 account sessions of the IS-owned book,251,1.8801008031206459,1,-2033.2355700000044,0,0,IS,0,24025.5162458,0,0,136,796512.2391,0,111,-3576.34904500001,-2033.2355700000044
124571.46416580013,0,-379.45311160659344,542.2174066238532,200,0,2350178.282706,PARENT,200,0,26591.874,0.545,3,200,91,-6434.655448699996,-0.06230158374177874,9363.26009046215,609.5186942500077,24571.464165799996,23471.98796505534,21273.035563566023,22935.134331599995,97.89427954501991,24571.464165799996,0,CAUSAL_PREORDER_QTY,1.428944420374155,34734.045000000006,251 account sessions of the IS-owned book,251,1.7115927672613505,2,-2792.521005900009,0,0,IS,0,24571.464165799996,0,0,199,796512.2391,0,109,-3535.725000000006,-1503.9485117000004
123608.0885378,0,-439.77449360212773,612.7065182679245,200,0,3120098.647806,PARENT,200,0,25630.916529999995,0.53,4,200,94,-5381.578199200056,-0.051458820220722123,12430.671903609562,825.3283800000063,23608.088537799995,22297.67525072657,19676.84867657972,21969.340545599993,94.0561296326693,23608.088537799995,0,CAUSAL_PREORDER_QTY,1.3932288642966448,35532.772000000004,251 account sessions of the IS-owned book,251,1.571087868249408,3,-1862.8671471999987,0,0,IS,0,23608.088537799995,0,0,177,796512.2391,0,106,-3535.725000000006,-1421.2892349999893
126359.96130769997,0,-492.1358202021505,674.0989961355141,200,0,3890979.9703760003,PARENT,200,0,28380.1659,0.535,5,200,93,-7780.9112329000345,-0.06604950669965515,15501.912232573706,1318.9531226999898,26359.9613077,24829.712839100546,21769.215901901644,24723.836715399997,105.01976616613545,26359.9613077,0,CAUSAL_PREORDER_QTY,1.369741783596691,63537.3986,251 account sessions of the IS-owned book,251,1.5759394714499562,3,-4453.99507790005,0,0,IS,0,26359.9613077,0,0,199,796512.2391,0,107,-3535.725000000006,-2090.614140000005
133946.02055396812,0,-500.56837096666675,718.1561267360728,200,0,4659112.043576,PARENT,200,0,35961.259668,0.55,6,200,90,-7970.486810000031,-0.07619954446957422,18562.199376796812,1253.5773536500128,33946.020553967996,32096.67804613567,28397.993030471007,32314.861439935994,135.24310977676492,33946.020553967996,0,CAUSAL_PREORDER_QTY,1.4346813909740521,68236.315,251 account sessions of the IS-owned book,251,1.7534994778571749,4,-3810.400930000076,0,0,IS,0,33946.020553967996,0,0,174,796512.2391,0,110,-3535.725000000006,-1823.6124050000217
132783.02166210004,0,-568.892734586207,728.1122970893805,200,0,5419663.023008,PARENT,200,0,34800.136,0.565,7,200,87,-8235.836477600038,-0.07838985678132027,21592.282960191234,1011.5982499999955,32783.0216621,30389.21834514548,25601.611711236437,31149.9873242,130.6096480561753,32783.0216621,0,CAUSAL_PREORDER_QTY,1.279876245245045,68236.315,251 account sessions of the IS-owned book,251,1.6623679966975873,4,-4195.411251400001,0,0,IS,0,32783.0216621,0,0,214,796512.2391,0,113,-7178.455977000005,-1850.0749300000025
143211.90757570017,0,-548.1753331552941,780.9287903817391,200,0,6181375.126108,PARENT,200,0,45220.6446,0.575,8,200,85,-10438.779145999986,-0.0995574876780696,24626.992534294823,1147.5534386999934,43211.9075757,40609.41601132082,35404.43288256247,41587.2505514,172.158994325498,43211.9075757,0,CAUSAL_PREORDER_QTY,1.424596736023705,68236.315,251 account sessions of the IS-owned book,251,1.9273955840320716,4,-4756.81258339998,0,0,IS,0,43211.9075757,0,0,175,796512.2391,0,115,-7140.562000000005,-2501.792969999966
141572.5341160999,0,-584.2812869692308,869.1938644981651,200,0,6932666.720608001,PARENT,200,0,43584.670999999995,0.545,9,200,91,-13788.19088239997,-0.13304932748037634,27620.186137880482,1740.448319999974,41572.534116099996,38764.20923815917,33147.55948227753,39944.4772322,165.62762596055776,41572.534116099996,0,CAUSAL_PREORDER_QTY,1.4876291332327716,68236.315,251 account sessions of the IS-owned book,251,1.7818854453007926,5,-7529.094545399945,0,0,IS,0,41572.534116099996,0,0,195,796512.2391,0,109,-7140.562000000005,-3662.885644999973
140819.13348100003,0,-595.2602928375001,941.9627076288463,200,0,7685594.288708,PARENT,200,0,42832.2388,0.52,10,200,96,-14264.502205099998,-0.13622142853687957,30619.89756457371,1890.5771668999369,40819.133481,37795.49328303178,31748.21288709534,39190.108162,162.62602980478087,40819.133481,0,CAUSAL_PREORDER_QTY,1.5824383365782344,95956.18860000001,251 account sessions of the IS-owned book,251,1.7143081979597539,4,-7838.437558099991,0,0,IS,0,40819.133481,0,0,202,796512.2391,0,104,-7140.562000000005,-3828.926219699977
111970.435320464,0,-199.31471890141665,299.0831570673077,200,0,774504.5878000001,R4,200,0,13919.054163999996,0.52,1,200,96,-2131.4492831999814,-0.019879936992014846,3085.675648605578,282.3460570000025,11970.435320463996,11713.265589559887,11198.926127751667,10388.436476927996,47.69097737236652,11970.435320463996,0,LEGACY_FILL_QTY,1.5005573031223933,38377.6782,251 account sessions of the IS-owned book,251,1.6256037450492593,0,0,0,0,IS,0,9427.073693063996,2543.3616273999996,0,92,774504.5878000001,0,104,-1904.7539978000277,0.0
126477.91758860013,0,-292.7122954629214,473.2370440072072,200,0,1535090.121436,R4,200,0,28418.4151,0.555,2,200,89,-4603.561080000014,-0.03525569963347264,6115.896898151394,1649.2189558999962,26477.9175886,25612.93865196767,23882.980778703015,24904.0400772,105.48971150836654,26477.9175886,0,LEGACY_FILL_QTY,1.6167310063241034,38588.39,251 account sessions of the IS-owned book,251,2.016372378673882,1,-1434.414659999995,0,0,IS,0,21951.1773263,4526.7402623,0,110,774504.5878000001,0,111,-4573.620899999994,-1434.414659999995
129275.55528470025,0,-345.43658463956046,556.9750870357799,200,0,2281176.2941360003,R4,200,0,31215.3303,0.545,3,200,91,-4544.524934199915,-0.04391898542145667,9088.351769466137,851.2250799000249,29275.5552847,28206.169177464933,26067.396962994797,27702.4002694,116.6356784250996,29275.5552847,0,LEGACY_FILL_QTY,1.6123801351757383,39635.9,251 account sessions of the IS-owned book,251,1.9313124696061041,2,-1144.2538002999645,0,0,IS,0,26830.879443500005,2444.6758411999976,0,196,774504.5878000001,0,109,-4527.5199999999895,-1076.2311343000038
129186.3693942,0,-397.757645019149,628.0715851509434,200,0,3024465.551636,R4,200,0,31127.731310999996,0.53,4,200,94,-4527.5199999999895,-0.04300511144073538,12049.663552334661,1610.8366773000307,29186.3693942,27913.342394499174,25367.28839509753,27611.627477399998,116.28035615219123,29186.3693942,0,LEGACY_FILL_QTY,1.579030832005018,39635.9,251 account sessions of the IS-owned book,251,1.780609236090765,2,-1706.5855677999498,0,0,IS,0,27822.150339099997,1364.2190550999992,0,172,774504.5878000001,0,106,-4527.5199999999895,-1077.227829999989
134011.2517404001,0,-428.49072564086015,690.2886843457944,200,0,3767842.408125,R4,200,0,35947.511,0.535,5,200,93,-5888.587856899976,-0.047143553787945325,15011.324335159363,1835.8217224999535,34011.2517404,32526.324796455618,29556.47090856685,32441.612480800002,135.5029949816733,34011.2517404,0,LEGACY_FILL_QTY,1.6109769547832884,65954.1838,251 account sessions of the IS-owned book,251,1.8534896146431383,2,-2342.3049699999683,0,0,IS,0,34079.7361475,-68.48440710000122,0,197,774504.5878000001,0,107,-4527.5199999999895,-1417.7796899999958
139079.6237309699,0,-459.0148426555555,730.8269051815455,200,0,4506399.484925,R4,200,0,41013.56387,0.55,6,200,90,-6430.100405599951,-0.061366600317793285,17953.782808466134,1968.3623155000023,39079.62373097,37279.74079338178,33679.97491820534,37512.30359194,155.6957120755777,39079.62373097,0,LEGACY_FILL_QTY,1.5921639939864811,68550.2719,251 account sessions of the IS-owned book,251,1.9459782148723657,3,-3028.269429999971,0,0,IS,0,34479.757695570006,4599.866035399997,0,172,774504.5878000001,0,110,-4527.5199999999895,-1134.3624099999724
136798.9601823998,0,-530.1743613344828,733.8418550309735,200,0,5239890.508855,R4,200,0,38736.141899999995,0.565,7,200,87,-8953.62811499997,-0.06224746442698825,20876.05780420319,1893.8301380999837,36798.9601824,34482.14071281452,29848.501773643562,35228.398464800004,146.60940311713148,36798.9601824,0,LEGACY_FILL_QTY,1.3841519102957875,69211.0,251 account sessions of the IS-owned book,251,1.7978065041772873,4,-3545.7929316000955,0,0,IS,0,31344.277947799997,5454.682234600002,0,210,774504.5878000001,0,113,-8953.62811499997,-1902.8327700000082
147470.47735730011,0,-510.40628153999995,790.0435764191305,200,0,5975658.954755,R4,200,0,49399.048800000004,0.575,8,200,85,-9699.773945599998,-0.09074164643298865,23807.406194243027,2560.3318047000284,47470.477357300006,44952.07749157754,39915.27776013261,45908.52591460001,189.12540779800798,47470.477357300006,0,LEGACY_FILL_QTY,1.5478719698264838,73828.835,251 account sessions of the IS-owned book,251,2.0941797238828896,3,-4603.931397299995,0,0,IS,0,39214.66839350001,8255.8089638,0,191,774504.5878000001,0,115,-8912.340000000026,-3051.488040000011
145955.11257799983,0,-554.0208100582418,884.1376724155963,200,0,6700764.493755001,R4,200,0,47887.7246,0.545,9,200,91,-11902.711590599967,-0.11337595822515978,26696.272883486057,2451.513517500047,45955.112578,43238.05366049671,37803.93582549014,44389.120556,183.08809792031872,45955.112578,0,LEGACY_FILL_QTY,1.5958564305962637,73828.835,251 account sessions of the IS-owned book,251,1.9115203399449754,2,-5920.691480000009,0,0,IS,0,38087.3781304,7867.734447599999,0,193,774504.5878000001,0,109,-8912.339999999997,-4378.608659999998
147298.0924308999,0,-560.25394636875,971.9468392528846,200,0,7427381.356955,R4,200,0,49230.2812,0.52,10,200,96,-12452.01064090003,-0.11719849321253417,29591.160784681277,3438.2189975500078,47298.0924309,44373.711585122735,38524.94989356822,45732.5236618,188.43861526254977,47298.0924309,0,LEGACY_FILL_QTY,1.7348326514297592,95649.82380000001,251 account sessions of the IS-owned book,251,1.8794020390489055,3,-7084.033853500019,0,0,IS,0,41718.977451700004,5579.114979199998,0,195,774504.5878000001,0,104,-8912.339999999997,-4820.150060300017
111972.74461623801,0,-198.91257444752083,298.73415156923073,200,0,773949.6869000001,R4,200,0,13918.167337999996,0.52,1,200,96,-2119.1856442000135,-0.019769222486082372,3083.464888047809,272.2513560000298,11972.744616237995,11715.735439005117,11201.717084539365,10392.971894475995,47.70017775393623,11972.744616237995,0,CAUSAL_PREORDER_QTY,1.501836434418307,38617.3542,251 account sessions of the IS-owned book,251,1.6269894706198327,0,0,0,0,IS,0,9415.738735137995,2557.0058810999994,0,92,773949.6869000001,0,104,-1901.8545840000297,0.0
126431.35978120001,0,-292.3604200134832,472.5354699315315,200,0,1533981.206462,R4,200,0,28368.66205,0.555,2,200,89,-4588.541064999998,-0.03515731276083567,6111.478910207172,1649.9969653999724,26431.359781199997,25566.899261861367,23837.978223184105,24859.707512399997,105.30422223585656,26431.359781199997,0,CAUSAL_PREORDER_QTY,1.6162771619692533,38819.58,251 account sessions of the IS-owned book,251,2.0158063480740127,1,-1434.2341500000039,0,0,IS,0,21865.613781999997,4565.7459991999995,0,110,773949.6869000001,0,111,-4558.6011649999855,-1434.2341500000039
129193.95067110022,0,-345.21281935934064,556.039607640367,200,0,2279562.231312,R4,200,0,31130.5549,0.545,3,200,91,-4535.328514199951,-0.04383990310961472,9081.921240286852,854.6736999000277,29193.9506711,28125.221377829865,25987.762791289588,27622.996442199998,116.31056044262948,29193.9506711,0,CAUSAL_PREORDER_QTY,1.6107154093300673,39586.165,251 account sessions of the IS-owned book,251,1.9293184573294213,2,-1155.2519403000042,0,0,IS,0,26684.1958702,2509.7548008999975,0,196,773949.6869000001,0,109,-4512.545000000013,-1076.130704299998
