book,sessions_in_account,intended,completed,documented_event_open,unresolved,wins,losses,flats,hit_rate,avg_win,avg_loss,payoff_ratio,profit_factor,gross_pnl,modeled_net,net_double_spread,net_borrow_10,net_borrow_30,completed_net_through_cutoff,september_runoff_net,september_runoff_trades,per_session_basis,net_per_session,max_dd_dollars,max_dd_percent,worst_day,time_underwater_sessions,red_calendar_months,red_month_loss_sum,worst_month,median_month,mean_gross,peak_gross,exposure_dollar_days,turnover_entry_notional,tier_contribution,aug31_equity,aug31_open_tickets,aug31_stale_gross
R4/R1/CAUSAL_PREORDER_QTY/IS,251,200,200,0,0,91,109,0,0.455,759.3156,-551.8684,1.3759,1.1487,10964.2794,8944.061,7298.8926,5904.4233,-174.8521,8944.061,0,0,251 account sessions in this split-owned book,35.6337,-21983.6138,-0.2198,-5941.274,240,5,-20863.2283,-6928.2867,670.0184,30842.9938,90359.83,7741591.4431,787463.8411,FULL=13848.7108908;HALF=-4904.649871800003;QUARTER=0,108944.061,0,0
R4/R1/CAUSAL_PREORDER_QTY/OOS,251,216,215,0,1,114,101,0,0.5302,895.7511,-536.232,1.6705,1.8855,50076.1611,47956.1855,46239.4398,44554.2798,37750.4686,41897.2396,6058.9459,16,251 account sessions in this split-owned book,191.0605,-59213.6035,-0.4248,-48145.425,190,5,-19473.6711,-8044.3048,4731.0011,36949.0637,125703.868,9274214.9895,879568.6439,FULL=52978.1891202;HALF=-5022.0036519000005;QUARTER=0,147159.53,17,0
R4/R1/CAUSAL_PREORDER_QTY/ALL,251,416,415,0,1,205,210,0,0.494,835.187,-544.3481,1.5343,1.4978,61040.4405,56900.2465,53538.3325,50458.7031,37575.6164,50841.3006,6058.9459,16,251 account sessions in this split-owned book,226.6942,-66688.4148,-0.428,-48145.425,225,4,-22217.9481,-7670.7334,6985.2383,67792.0575,125703.868,17015806.4326,1667032.485,FULL=66826.90001099999;HALF=-9926.653523700003;QUARTER=0,156103.591,17,0
R4/R2/CAUSAL_PREORDER_QTY/IS,251,200,200,0,0,104,96,0,0.52,968.6821,-559.7547,1.7305,1.8748,48935.5945,47006.489,45443.0335,44083.9083,38238.7468,47006.489,0,0,251 account sessions in this split-owned book,187.2768,-12464.6235,-0.1174,-8891.109,196,3,-7107.9792,-4801.123,4047.5964,29571.7737,95841.3246,7422515.1902,773949.6869,FULL=41396.9400604;HALF=5609.548960999998;QUARTER=0,147006.489,0,0
R4/R2/CAUSAL_PREORDER_QTY/OOS,251,216,215,1,0,120,95,0,0.5581,1038.1444,-607.774,1.7081,2.1576,68959.7064,66838.8026,65141.0688,63583.3409,57072.4175,58290.0737,8548.7289,16,251 account sessions in this split-owned book,266.2901,-22024.2545,-0.165,-5112.7164,181,5,-13559.5364,-5774.6216,2948.0157,35523.2172,115744.7261,8916327.5206,848710.2663,FULL=51656.9394068;HALF=15181.863217100003;QUARTER=0,167314.9821,17,4893.26
R4/R2/CAUSAL_PREORDER_QTY/ALL,251,416,415,1,0,224,191,0,0.5398,1005.894,-583.6386,1.7235,2.0213,117895.3009,113845.2916,110584.1024,107667.2492,95311.1644,105296.5627,8548.7289,16,251 account sessions in this split-owned book,453.5669,-21832.8611,-0.1614,-8891.109,179,2,-8485.1407,-8394.739,11373.6614,65094.9909,117533.37,16338842.7108,1622659.9532,FULL=93053.8794672;HALF=20791.4121781;QUARTER=0,214321.4712,17,4893.26
R5/R1/LEGACY_FILL_QTY/IS,251,200,200,0,0,91,109,0,0.455,781.8985,-506.6773,1.5432,1.2883,17940.8395,15924.9351,14285.6808,12878.8153,6786.5756,15924.9351,0,0,251 account sessions in this split-owned book,63.446,-19753.2586,-0.1975,-6505.122,231,6,-19891.9081,-5952.1614,1641.5409,30864.169,95936.13,7746906.4142,791687.4666,FULL=15988.901937399998;HALF=4548.276962799997;QUARTER=-4612.243751600002,115924.9351,0,0
R5/R1/LEGACY_FILL_QTY/OOS,251,216,215,0,1,114,101,0,0.5302,942.1998,-570.8844,1.6504,1.8629,51936.7353,49751.4586,47982.802,46230.0236,39187.1534,45011.7924,4739.6662,16,251 account sessions in this split-owned book,198.213,-47318.6043,-0.3371,-38858.11,192,5,-24587.0378,-6875.2812,5248.717,37149.1709,122299.061,9324441.8939,905680.798,FULL=22931.9576855;HALF=30462.145259599994;QUARTER=-3642.6443157999993,148738.7063,17,0
R5/R1/LEGACY_FILL_QTY/ALL,251,416,415,0,1,205,210,0,0.494,871.0417,-537.5579,1.6204,1.5818,69877.5748,65676.3938,62268.4828,59108.8389,45973.729,60936.7276,4739.6662,16,251 account sessions in this split-owned book,261.6589,-56630.9893,-0.342,-38858.11,221,4,-24856.6493,-8301.9017,6890.2579,68013.3399,124050.28,17071348.3081,1697368.2646,FULL=38920.8596229;HALF=35010.42222239999;QUARTER=-8254.888067400001,164663.6414,17,0
R5/R2/LEGACY_FILL_QTY/IS,251,200,200,0,0,104,96,0,0.52,1017.3606,-488.0214,2.0847,2.2584,60866.4487,58955.444,57412.3892,56064.3375,50282.1247,58955.444,0,0,251 account sessions in this split-owned book,234.8822,-11761.0097,-0.1103,-9719.287,196,2,-5928.2414,-3887.2116,5157.7712,29211.864,97947.3666,7332177.8639,770855.3708,FULL=38253.1978849;HALF=17818.365605;QUARTER=2883.880483699999,158955.444,0,0
R5/R2/LEGACY_FILL_QTY/OOS,251,216,215,1,0,120,95,0,0.5581,1104.5631,-656.9518,1.6813,2.1238,72321.7064,70137.1511,68383.6358,66753.5043,59986.2106,63886.7652,6250.3859,16,251 account sessions in this split-owned book,279.4309,-24964.8871,-0.1912,-9202.36,180,4,-18813.9311,-6905.1876,1673.8568,35848.2826,121182.462,8997918.9247,880761.7173,FULL=35502.9709235;HALF=20932.9609693;QUARTER=13701.219200200001,170247.3879,17,4007.67
R5/R2/LEGACY_FILL_QTY/ALL,251,416,415,1,0,224,191,0,0.5398,1064.0762,-572.0444,1.8601,2.1815,133188.1551,129092.5951,125796.0251,122817.8418,110268.3352,122842.2091,6250.3859,16,251 account sessions in this split-owned book,514.3131,-23285.0546,-0.1727,-9719.287,180,2,-11780.397,-10792.3992,12585.9564,65060.1466,123913.19,16330096.7886,1651617.0881,FULL=73756.1688084;HALF=38751.3265743;QUARTER=16585.0996839,229202.8319,17,4007.67
R5/R1/CAUSAL_PREORDER_QTY/IS,251,200,200,0,0,91,109,0,0.455,780.5528,-506.763,1.5403,1.2859,17805.9371,15793.1311,14155.885,12747.2618,6655.5233,15793.1311,0,0,251 account sessions in this split-owned book,62.9208,-19759.7746,-0.1976,-6505.126,231,6,-19899.0814,-5958.901,1632.4122,30861.3571,95930.18,7746200.6198,791521.8959,FULL=15877.242167399998;HALF=4507.643534999997;QUARTER=-4591.754635900002,115793.1311,0,0
R5/R1/CAUSAL_PREORDER_QTY/OOS,251,216,215,0,1,114,101,0,0.5302,941.5615,-570.4022,1.6507,1.8632,51911.9784,49727.3894,47959.3204,46207.2368,39166.9316,44996.1944,4731.195,16,251 account sessions in this split-owned book,198.1171,-46739.2901,-0.3328,-38359.95,192,5,-24406.5239,-6796.1069,5217.0104,37091.4678,122163.681,9309958.4288,905354.313,FULL=22959.133965300007;HALF=30413.119974499994;QUARTER=-3644.8645173999994,148723.48,17,0
R5/R1/CAUSAL_PREORDER_QTY/ALL,251,416,415,0,1,205,210,0,0.494,870.0893,-537.3704,1.6192,1.5806,69717.9155,65520.5205,62115.2055,58954.4986,45822.455,60789.3255,4731.195,16,251 account sessions in this split-owned book,261.0379,-56072.1383,-0.3387,-38359.95,221,4,-24724.0319,-8304.154,6849.4225,67952.8249,124128.705,17056159.0486,1696876.2089,FULL=38836.3761327;HALF=34920.76350949999;QUARTER=-8236.6191533,164516.611,17,0
R5/R2/CAUSAL_PREORDER_QTY/IS,251,200,200,0,0,104,96,0,0.52,1014.4234,-487.8093,2.0795,2.2528,60578.8043,58670.341,57129.0677,55780.7234,50001.4882,58670.341,0,0,251 account sessions in this split-owned book,233.7464,-11773.8409,-0.1105,-9733.971,196,2,-5949.511,-3883.0519,5140.4236,29196.0876,98288.3824,7328217.9974,770364.7916,FULL=38314.7472146;HALF=17465.908064;QUARTER=2889.685733499999,158670.341,0,0
R5/R2/CAUSAL_PREORDER_QTY/OOS,251,216,215,1,0,120,95,0,0.5581,1103.8141,-655.4042,1.6842,2.1274,72374.0749,70194.2839,68444.1429,66812.3922,60048.6089,64012.3615,6181.9223,16,251 account sessions in this split-owned book,279.6585,-24773.1645,-0.1899,-9199.59,180,4,-18749.6452,-7019.9079,1719.2802,35776.8148,121023.3115,8979980.5032,880316.8489,FULL=35621.3882878;HALF=20952.9097271;QUARTER=13619.9858386,170316.0597,17,3947.63
R5/R2/CAUSAL_PREORDER_QTY/ALL,251,416,415,1,0,224,191,0,0.5398,1062.3113,-571.168,1.8599,2.1812,132952.8791,128864.6249,125573.2106,122593.1156,110050.0971,122682.7025,6181.9223,16,251 account sessions in this split-owned book,513.4049,-23309.4716,-0.1729,-9733.971,180,2,-11818.1191,-10902.9598,12727.7466,64972.9024,123797.771,16308198.5006,1650681.6405,FULL=73936.1355024;HALF=38418.817791099995;QUARTER=16509.6715721,228986.4007,17,3947.63
